titulo,precio,provincia,lugar,num_dormitorios,num_banos,area,num_garages,tipo_precio_lugar
Oficina en renta Sector la Carolina,700,Pichincha,"pichincha, avenida republica del salvador, quito, ecuador",1,1,58.0,1,Lujo
OFICINA EN RENTA SECTOR LA COLÓN,220,Pichincha,"pichincha, av. 10 de agosto & javier ascazubi, quito, ecuador",1,1,60.0,1,Económico
OFICINA IDEAL REACTIVATE- LA COLÓN,300,Pichincha,"pichincha, av. 10 de agosto & javier ascazubi, quito, ecuador",1,1,80.0,1,Lujo
BONITO LOCAL COMERCIAL DE ALQUILER CAPELO,120,Pichincha,"pichincha, capelo, quito, ecuador",3,1,30.0,2,Económico
Departamento 2D Renta sector La Kennedy,220,Pichincha,"pichincha, la kennedy, quito, ecuador",2,1,45.0,1,Económico
HERMOSO LOFT DE ARRIENDO EN LA LEONIDAS PLAZA,500,Pichincha,"pichincha, leonidas plaza gutierrez, quito, ecuador",1,1,17.0,1,Medio
EN RENTA LOCAL COMERCIAL SECTOR SAN RAFAEL,250,Pichincha,"pichincha, san rafael, ecuador",3,2,45.0,3,Económico
DE ALQUILER BODEGA EN EL COLIBRÍ,1000,Pichincha,"pichincha, sangolqui, sangolqui, ecuador",3,2,200.0,1,Lujo
Hostel en Renta Sector el Chaupi,700,Pichincha,"pichincha, el chaupi, el chaupi, ecuador",8,5,783.0,15,Medio
Departamento con Terraza Privada. Sector Mall del Sur .,300,Guayas,"guayas, ciudadela moran valverde",2,1,70.0,1,Medio
SE RENTA EDIFICIO SECTOR ESTRATEGICO EN LATACUNGA,3700,Cotopaxi,"cotopaxi, latacunga, cotopaxi, ecuador",3,2,100.0,1,Medio
SUITE AMOBLADA EN LA DIEGO DE ALMAGRO Y ALPALLANA,400,Pichincha,"pichincha, diego de almagro & alpallana, quito, ecuador",1,1,87.0,1,Económico
VENDO TERRENOS EN PUEMBO,125,Pichincha,"pichincha, puembo, ecuador",3,2,100.0,1,Económico
Bodega en Renta Parque industrial Sangolquí,2500,Pichincha,"pichincha, sangolqui, sangolqui, ecuador",3,2,640.0,1,Lujo
